CASEID,wer_01,wer_03,wer_04,wer_05,wer_06,wer_07,wer_08,wer_09
  588, 9, 7, 9,10, 0, 7, 7, 8
  589,96,96,96,96,96,96,96,96
  590, 8, 7,10,10, 0, 6,10,10
  591, 6, 8, 8, 8, 6, 6, 7, 7
  592,10,96, 9,10, 7, 8, 9,10
  593,10, 0,10,10, 0, 0,10,10
  594,96,96,96,96,96,96,96,96
  595,96,96,96,96,96,96,96,96
  596, 7, 3, 1,10, 5, 3, 7, 7
  597, 9, 7, 8, 7, 3, 5, 4, 9
  598,10, 0,10,10, 0, 0,10,10
  599,96,96,96,96,96,96,96,96
  600,96,96,96,96,96,96,96,96
  601,10,96, 9,10,10, 1, 7,10
  602, 6, 5, 8,10, 3, 7, 5, 5
  603,10,96, 8,10, 4, 6, 9,10
  604,96,96,96,96,96,96,96,96
  605,10, 6,10,10, 2,10, 9,10
  606,96,96,96,96,96,96,96,96
  607,96,96,96,96,96,96,96,96
  608,96,96,96,96,96,96,96,96
  609,10, 7,10,10, 1, 0,10,10
  610,96,96,96,96,96,96,96,96
  611, 8, 2, 9,10, 5, 3, 9, 9
  612,10, 5, 9,10,10, 3, 6,10
  613, 6, 7, 8,10, 2, 5, 7,10
